patch,mesh,nearest_patch,nearest_mesh,same_mesh,token_cos,geometry_dist,normal_var,linearity,planarity,surface_var
67,shapenet/04256520/c8962afab63de682a9ed6dce8b2a37bc,61,shapenet/04379243/1c2fb38795e6e3c858df8eeaf3dad1c,0,0.9736184477806091,2.6860744953155518,0.28816118836402893,0.21161410212516785,0.4101943075656891,0.036803729832172394
68,shapenet/04401088/9f56c8a7cb64f4c36c87ee6c360661c8,69,shapenet/04401088/9f56c8a7cb64f4c36c87ee6c360661c8,1,0.983422040939331,1.6663472652435303,0.0831914097070694,0.33428457379341125,0.5120218396186829,0.05426814407110214
69,shapenet/04401088/9f56c8a7cb64f4c36c87ee6c360661c8,68,shapenet/04401088/9f56c8a7cb64f4c36c87ee6c360661c8,1,0.983422040939331,1.6663472652435303,0.10082298517227173,0.062492918223142624,0.748111367225647,0.027622168883681297
70,shapenet/04401088/9f56c8a7cb64f4c36c87ee6c360661c8,33,shapenet/04401088/a1c60f087535c7726fde3adc6768fe52,0,0.9864931106567383,1.3073468208312988,0.03418261930346489,0.03823191300034523,0.6974209547042847,0.026553131639957428
71,shapenet/04401088/9f56c8a7cb64f4c36c87ee6c360661c8,69,shapenet/04401088/9f56c8a7cb64f4c36c87ee6c360661c8,1,0.9766111373901367,1.2292457818984985,0.026985330507159233,0.24658244848251343,0.5482185482978821,0.03165672346949577
72,shapenet/02691156/ee30cf94a209a45b91d43bb96e1bb0b1,84,shapenet/02691156/ea06bef342fbfd4236f3a2343a8221f2,0,0.9321752786636353,3.9745872020721436,0.38974234461784363,0.17026402056217194,0.5752314329147339,0.005960187874734402
73,shapenet/02691156/ee30cf94a209a45b91d43bb96e1bb0b1,12,shapenet/02691156/577ef32f6c313a5e4ca16f43c2716caf,0,0.8760364055633545,2.898282289505005,0.0594625324010849,0.506844699382782,0.4767412841320038,0.07343114167451859
74,shapenet/02691156/ee30cf94a209a45b91d43bb96e1bb0b1,53,shapenet/04379243/8e3bfa092e83c28d55f46d55537192b6,0,0.9314026236534119,2.146500587463379,0.5078710913658142,0.6106213331222534,0.06461819261312485,0.019040700048208237
75,shapenet/02691156/ee30cf94a209a45b91d43bb96e1bb0b1,54,shapenet/04379243/8e3bfa092e83c28d55f46d55537192b6,0,0.6591225266456604,1.7908908128738403,0.49212539196014404,0.5592110753059387,0.058324381709098816,0.017337707802653313
76,shapenet/04379243/66a3fb3a480c2b9e7b22e9efea2f565,88,shapenet/04379243/4eb3c0cffaf389fac3bd24f986301745,0,0.9199938774108887,2.2251791954040527,0.40976622700691223,0.493498295545578,0.3895074129104614,0.06400890648365021
77,shapenet/04379243/66a3fb3a480c2b9e7b22e9efea2f565,25,shapenet/04379243/a96c429fad0af4c6bd1cdc725a461877,0,0.9700707793235779,2.2599830627441406,0.018568245694041252,0.49465903639793396,0.5016694068908691,0.05471917614340782
78,shapenet/04379243/66a3fb3a480c2b9e7b22e9efea2f565,49,shapenet/04379243/9fc9605f6ed5762553cc33364504d5,0,0.9988473653793335,0.5211321711540222,0.057771049439907074,0.18490095436573029,0.8075616955757141,0.0657401904463768
79,shapenet/04379243/66a3fb3a480c2b9e7b22e9efea2f565,93,shapenet/04379243/eafa1680912b4ee3391e4d6c585a697a,0,0.9562405943870544,2.2030811309814453,0.3358071446418762,0.2376430183649063,0.6554955244064331,0.05907178297638893
80,shapenet/02871439/1d3014ad5c35944f9af68b4b3261e1f8,81,shapenet/02871439/1d3014ad5c35944f9af68b4b3261e1f8,1,0.992161750793457,0.6895538568496704,0.49102160334587097,0.5832157731056213,0.2443549484014511,0.08950073271989822
81,shapenet/02871439/1d3014ad5c35944f9af68b4b3261e1f8,80,shapenet/02871439/1d3014ad5c35944f9af68b4b3261e1f8,1,0.992161750793457,0.6895538568496704,0.5025144219398499,0.7152787446975708,0.16973702609539032,0.08146091550588608
82,shapenet/02871439/1d3014ad5c35944f9af68b4b3261e1f8,47,shapenet/04401088/a3c1c9fc390b1bbbb099170e6f5a4af9,0,0.9739503264427185,1.5053470134735107,0.36822310090065,0.08146040141582489,0.7016441226005554,0.06123976781964302
83,shapenet/02871439/1d3014ad5c35944f9af68b4b3261e1f8,26,shapenet/04379243/a96c429fad0af4c6bd1cdc725a461877,0,0.832392692565918,2.5702755451202393,0.5619298815727234,0.5623297095298767,0.10594284534454346,0.09165729582309723
84,shapenet/02691156/ea06bef342fbfd4236f3a2343a8221f2,72,shapenet/02691156/ee30cf94a209a45b91d43bb96e1bb0b1,0,0.9321752786636353,3.9745872020721436,0.4539605677127838,0.5300800800323486,0.33298322558403015,0.15643151104450226
85,shapenet/02691156/ea06bef342fbfd4236f3a2343a8221f2,86,shapenet/02691156/ea06bef342fbfd4236f3a2343a8221f2,1,0.8077189922332764,1.1819028854370117,0.4154302477836609,0.14476172626018524,0.5557348728179932,0.12168296426534653
86,shapenet/02691156/ea06bef342fbfd4236f3a2343a8221f2,85,shapenet/02691156/ea06bef342fbfd4236f3a2343a8221f2,1,0.8077189922332764,1.1819028854370117,0.5054336190223694,0.3291454017162323,0.3870064914226532,0.11940494179725647
87,shapenet/02691156/ea06bef342fbfd4236f3a2343a8221f2,49,shapenet/04379243/9fc9605f6ed5762553cc33364504d5,0,0.9484024047851562,0.9260908365249634,0.03732490912079811,0.27592793107032776,0.7141468524932861,0.09658390283584595
